average_flux,air_temp_avg,deep_soil_temp,mid_soil_temp,shallow_soil_temp,soil_moisture,light,time
0.87286,17.567,6.9943,8.0008,8.699,0.18,115.36,5.625
0.74007,13.255,7.0768,7.8325,8.477,0.18,48.8,5.6667
0.98691,9.1283,7.0441,7.3514,7.7075,0.18,2.55,5.7083
1.0138,7.03,6.8385,6.7495,6.94,0.18,1.3,5.75
1.3825,5.7758,6.5875,6.2734,6.2805,0.18,1.3,5.7917
1.3148,4.71,6.3017,5.799,5.702,0.17967,1.3,5.8333
1.4071,4.2025,6.0799,5.4679,5.2828,0.17925,1.3,5.875
1.5337,4.15,5.842,5.1182,4.9037,0.179,1.3,5.9167
1.3709,3.74,5.5834,4.8013,4.571,0.179,1.3,5.9583
0.83835,3.1,5.3585,4.518,4.246,0.179,1.3,6
1.0382,2.4958,5.1304,4.199,3.9407,0.179,1.3,6.0417
0.77004,2.245,4.919,3.9222,3.6523,0.179,1.3,6.0833
1.0723,2.245,4.7603,3.7343,3.4192,0.179,1.3,6.125
1.2874,2.03,4.5643,3.5195,3.2127,0.179,1.3,6.1667
1.3519,1.815,4.3926,3.2814,2.9918,0.179,1.3,6.2083
1.2135,2.03,4.2035,3.088,2.77,0.179,1.3,6.25
1.2907,2.1375,4.0578,2.9241,2.6325,0.17817,5.4667,6.2917
1.1846,2.7467,3.9288,2.8935,2.5927,0.17833,26.3,6.3333
1.2148,4.205,3.8765,2.8959,2.6303,0.179,29.113,6.375
0.67136,9.3533,3.8245,3.1287,2.947,0.178,57.967,6.4167
0.81907,16.473,4.0597,4.22,5.1058,0.17783,1019.8,6.4583
1.2171,18.47,4.791,6.121,7.895,0.177,855.05,6.5
0.77679,19.008,5.5014,6.6804,8.0242,0.177,189.01,6.5417
1.4505,18.217,5.8582,6.9382,7.8283,0.177,132.55,6.5833
1.1843,17.045,6.0498,6.8536,7.6003,0.17625,74.112,6.625
0.60835,11.768,6.1903,6.7243,7.444,0.176,62.55,6.6667
1.1845,7.73,6.204,6.2763,6.6948,0.176,4.425,6.7083
1.009,5.4,6.0385,5.7055,5.872,0.176,1.3,6.75
1.4805,4.0817,5.7828,5.1847,5.1532,0.176,1.3,6.7917
1.2794,3.525,5.5263,4.743,4.61,0.176,1.3,6.8333
0.93507,3.5788,5.307,4.4725,4.311,0.176,1.3,6.875
0.97199,2.89,5.0792,4.1835,3.9757,0.176,1.3,6.9167
0.87602,2.2808,4.8632,3.8803,3.6345,0.176,1.3,6.9583
1.7336,2.03,4.673,3.655,3.38,0.176,1.3,7
0.98443,2.245,4.4693,3.4118,3.1332,0.176,1.3,7.0417
0.98268,2.245,4.2953,3.2733,3.054,0.176,1.3,7.0833
1.2042,1.6538,4.1715,3.1276,2.8903,0.176,1.3,7.125
1.366,1.8867,4.0472,2.9772,2.6817,0.176,1.3,7.1667
1.1412,1.17,3.9069,2.7774,2.503,0.176,1.3,7.2083
0.94609,0.95,3.758,2.609,2.343,0.176,1.3,7.25
1.1359,0.51,3.609,2.4153,2.146,0.176,3.3833,7.2917
